Name,Gender,DateOfBirth,Age,Standard,Caste,DropoutStatus,DropoutReason,DropoutPrediction,SchoolJoiningDate,StreamAfter10th,DateLeftSchool
Allan Traynor,Male,1999-10-24,50,11,SC,false,Financial,false,2023-09-11,Science,2023-06-26
Licha Jeanes,Female,2010-04-09,53,3,SC,true,Financial,false,2024-01-20,Arts,2024-01-21
Purcell Stood,Male,1998-12-14,67,1,Other,true,Family,false,2024-04-14,Other,2023-09-21
Gasparo Faas,Male,1996-07-22,26,6,SC,false,Health,true,2023-12-22,Arts,2023-06-13
Hallsy Morales,Male,1993-05-16,22,4,OBC,true,Family,false,2024-03-13,Commerce,2023-08-09
Tate Nealon,Bigender,2003-11-21,41,10,ST,true,Health,false,2024-03-01,Other,2023-12-20
Hercule Quin,Male,2003-02-04,17,2,ST,false,Health,false,2024-02-29,Other,2023-09-21
Chastity Davidavidovics,Female,2018-03-15,12,6,General,true,Financial,false,2023-08-31,Science,2023-12-21
Inez Gegg,Female,2019-07-09,33,9,OBC,false,Other,true,2024-01-12,Commerce,2023-07-31
Berry Meadley,Female,1982-01-08,63,7,SC,false,Financial,false,2023-06-16,Other,2023-05-25
Hamnet Tierny,Male,2012-11-22,33,0,General,false,Other,false,2023-06-06,Arts,2023-11-03
Dillie Lavalde,Male,2002-06-09,30,10,Other,true,Family,true,2023-10-02,Arts,2024-02-07
Redford Iacobo,Male,1998-07-04,44,5,Other,true,Financial,false,2024-03-22,Other,2023-09-03
Forbes Carluccio,Male,1982-12-08,37,11,ST,true,Family,false,2023-09-22,Commerce,2024-01-02
Fidelity Morot,Female,1980-08-15,31,1,Other,true,Family,true,2024-02-11,Science,2023-05-05
Conrado Buist,Agender,2003-07-20,16,5,OBC,true,Financial,true,2023-08-22,Commerce,2024-01-12
Floris Debill,Female,2013-10-21,62,12,OBC,true,Health,false,2023-06-28,Commerce,2023-10-31
Isaac Struan,Male,2016-06-03,36,9,SC,true,Health,true,2023-09-30,Other,2024-04-01
Wendell Goodspeed,Bigender,2015-05-03,70,6,ST,false,Health,true,2023-08-02,Arts,2023-08-17
Abdul Punshon,Male,1990-03-02,66,4,Other,true,Financial,false,2024-03-13,Commerce,2024-02-28
Artemas Hinkensen,Male,1991-02-23,68,3,ST,false,Financial,true,2023-06-09,Science,2023-10-19
Bryn Curcher,Female,2005-12-05,32,10,SC,false,Family,true,2023-11-09,Commerce,2023-11-08
Jonathon Goodhall,Male,1995-08-12,37,10,General,false,Financial,true,2023-10-09,Science,2023-12-11
Joell Midgely,Female,1992-03-10,31,6,OBC,true,Other,true,2024-03-27,Science,2023-11-17
Thornton Botright,Male,1996-04-06,18,4,SC,true,Other,true,2024-04-07,Commerce,2023-12-06
Garnette Pyatt,Genderfluid,2009-08-03,67,8,General,true,Health,false,2024-01-28,Commerce,2023-12-12
Wainwright Coundley,Male,2011-03-27,59,10,ST,false,Family,true,2023-12-17,Other,2023-09-01
Katerine Biskupiak,Agender,1988-01-17,29,0,SC,false,Family,true,2023-09-17,Other,2024-04-06
Aurea Bang,Female,1988-02-24,69,0,ST,true,Family,true,2023-12-31,Other,2024-04-06
Ephrayim Skyner,Male,1980-07-16,23,5,Other,false,Family,true,2024-03-18,Other,2024-04-25
Kasper Hambribe,Male,1980-08-27,47,12,OBC,true,Family,true,2024-02-21,Arts,2023-04-30
Shaun McKerley,Female,2020-01-24,32,1,SC,true,Other,true,2023-11-11,Arts,2023-11-25
Tomi Feldstein,Female,2012-03-25,50,11,ST,false,Financial,true,2023-05-14,Science,2023-09-05
Shaylah Bolmann,Female,2016-03-15,58,10,Other,true,Financial,false,2023-04-30,Commerce,2024-01-28
Charmine Trent,Female,2004-10-22,19,0,OBC,false,Other,false,2023-08-14,Commerce,2023-12-18
Gil Rosini,Male,2012-06-28,58,12,SC,true,Financial,true,2023-09-19,Other,2023-12-26
Bertie Chartres,Agender,2010-03-31,50,6,Other,false,Health,false,2024-03-23,Other,2023-11-16
Jayne Kennon,Female,2013-02-02,37,0,SC,false,Financial,false,2023-12-29,Other,2024-04-23
Angelina Fulleylove,Female,2001-07-17,64,11,General,false,Financial,true,2023-05-04,Commerce,2024-01-02
Berkley Taplin,Male,2019-09-27,33,9,OBC,true,Family,true,2023-09-21,Other,2024-04-21
Nert Orrill,Non-binary,1988-02-14,46,10,Other,false,Financial,true,2023-06-11,Science,2023-07-09
Ethan Tunnah,Male,2015-05-18,61,5,SC,false,Other,false,2024-01-08,Commerce,2023-12-19
Raviv Heims,Male,2013-04-22,33,10,OBC,false,Health,false,2023-07-02,Science,2023-06-17
Karlyn McCrann,Female,1993-10-21,15,8,SC,true,Health,true,2023-11-05,Science,2023-08-31
Sharlene Churn,Genderfluid,2003-01-29,21,7,Other,true,Financial,false,2024-04-22,Science,2023-07-14
Julissa Turnock,Female,2012-10-04,62,5,SC,false,Financial,false,2023-10-22,Commerce,2024-01-29
Cecilia Ludlem,Female,2001-09-21,32,1,Other,false,Financial,true,2023-06-18,Other,2023-11-14
Marla Garlett,Female,1990-08-07,33,4,General,false,Financial,false,2023-06-07,Commerce,2023-09-17
Natty Marcombe,Male,1988-02-07,23,11,General,false,Health,true,2024-04-22,Other,2023-08-11
Griz Keatch,Male,2005-03-17,18,5,Other,true,Family,true,2024-03-19,Other,2024-01-02
Urson Boake,Male,1996-05-21,49,3,Other,false,Other,true,2024-04-11,Science,2023-05-16
Mab Abrashkov,Female,2014-07-12,46,6,OBC,true,Financial,false,2023-12-09,Arts,2024-04-08
Maryann MacGill,Female,2004-09-22,40,11,OBC,false,Other,false,2023-10-31,Arts,2023-07-17
Emmaline Paton,Polygender,2008-03-30,53,3,ST,true,Financial,false,2023-08-13,Arts,2023-09-03
Amalita Crane,Female,2015-03-08,36,4,SC,true,Financial,false,2023-11-13,Other,2024-04-26
Panchito Oneile,Male,1986-10-26,32,3,SC,true,Health,true,2023-12-08,Science,2023-10-15
Gallagher Pashenkov,Male,1995-10-20,66,10,OBC,false,Family,false,2023-07-03,Science,2023-12-10
Prent Korneluk,Genderqueer,2016-04-22,19,6,SC,false,Financial,false,2024-01-21,Commerce,2023-07-18
Gloriane Hatchman,Female,1984-08-13,46,11,OBC,true,Family,true,2024-03-05,Commerce,2023-11-12
Nicko Pleace,Male,1994-01-23,25,4,Other,false,Financial,false,2023-06-13,Science,2023-09-22
Sascha Hemshall,Female,1982-03-04,36,5,OBC,true,Health,false,2023-09-21,Commerce,2023-11-01
Lezlie Isted,Female,2002-09-08,52,7,General,true,Health,false,2023-09-24,Science,2024-01-14
Erin Wheatcroft,Non-binary,2013-08-05,50,3,Other,true,Family,true,2023-06-19,Commerce,2024-01-24
