Name,Gender,DateOfBirth,Age,Standard,Caste,DropoutStatus,DropoutReason,DropoutPrediction,SchoolJoiningDate,StreamAfter10th,DateLeftSchool
Ardis Severns,Female,1997-09-02,63,0,OBC,true,Financial,false,2024-03-02,Commerce,2023-10-25
Tricia Courtenay,Agender,1985-09-24,45,11,SC,true,Financial,true,2023-11-24,Commerce,2023-08-20
Eli Lober,Male,1993-01-08,52,7,OBC,true,Other,true,2024-02-06,Science,2023-10-14
Max Polding,Male,2001-06-11,10,6,General,false,Family,false,2024-04-26,Commerce,2023-06-16
Claudina Cowdroy,Female,2006-08-26,55,2,OBC,true,Other,false,2024-03-06,Commerce,2023-08-20
Christie Drinnan,Male,2016-07-17,49,11,SC,false,Financial,false,2023-07-22,Other,2023-12-12
Pepillo O'Nolan,Male,1989-04-14,61,7,ST,false,Family,true,2023-10-02,Arts,2023-11-16
Irina O'Shiel,Female,1989-12-15,60,7,SC,true,Financial,true,2023-11-23,Science,2023-11-09
Griff Awdry,Male,1990-07-19,38,7,OBC,false,Financial,false,2024-03-07,Commerce,2023-10-05
Patience Huckett,Female,1989-03-23,20,1,OBC,true,Health,true,2023-05-24,Arts,2024-02-07
Jorie Bliven,Female,1981-12-02,42,1,OBC,true,Health,true,2024-01-03,Science,2023-10-26
Adrian Catonnet,Female,2002-02-03,55,1,ST,true,Other,false,2024-01-30,Science,2024-02-07
Gifford Pleasants,Male,1995-06-10,32,5,ST,false,Health,true,2023-07-07,Science,2023-05-09
Ward Burland,Male,2007-12-08,33,3,Other,false,Financial,false,2024-01-14,Science,2023-07-26
Elna Vassbender,Female,1992-03-04,17,10,General,true,Financial,false,2023-05-24,Other,2023-09-26
Bradley Culligan,Male,1988-01-19,40,5,OBC,true,Financial,false,2024-01-09,Commerce,2023-06-17
Uriah Leger,Male,2005-03-17,70,0,ST,true,Financial,true,2023-09-14,Science,2024-01-13
Korrie Zecchii,Female,2019-06-16,29,5,ST,true,Other,true,2023-08-19,Commerce,2023-07-22
Rurik Pol,Male,2014-01-05,21,1,SC,false,Health,true,2023-07-03,Other,2024-03-12
Jess Fyrth,Male,2003-01-15,41,9,General,false,Family,true,2023-10-21,Commerce,2023-09-26
Brynne McIlenna,Female,1986-06-21,60,3,SC,false,Financial,true,2023-07-13,Science,2023-12-16
Roz Keats,Female,2002-11-07,60,5,General,true,Other,true,2024-01-25,Commerce,2023-12-27
Merrilee Tozer,Female,1988-10-23,68,11,General,false,Family,false,2023-12-14,Arts,2023-08-23
Kylie McDougall,Male,2011-05-15,36,5,SC,false,Health,true,2023-06-20,Commerce,2023-07-14
Clarita Bazley,Female,1999-08-01,67,2,ST,false,Family,false,2024-03-28,Other,2023-09-26
Archibald Morkham,Male,2018-02-05,55,10,General,true,Family,true,2023-09-05,Arts,2023-05-11
Fidel MacAndreis,Male,1994-10-17,25,8,General,true,Family,false,2023-10-05,Other,2024-04-18
Clare Haton,Female,1982-08-27,70,1,ST,false,Other,true,2024-03-27,Arts,2023-06-12
Charline Oldrey,Female,2007-04-14,35,12,Other,false,Family,true,2024-03-03,Commerce,2023-06-18
Courtney Ligerton,Female,1992-05-20,34,8,SC,false,Family,false,2023-08-20,Arts,2023-06-04
Zahara Chapelhow,Genderfluid,2013-04-08,40,12,Other,true,Family,false,2023-09-10,Commerce,2023-10-05
Tadeas Jacox,Male,2010-12-06,27,2,OBC,false,Health,true,2023-07-23,Science,2023-09-03
Vlad Ashburner,Male,1985-01-10,21,12,ST,false,Financial,true,2023-06-27,Science,2024-04-18
Daven Picardo,Male,1981-12-10,13,4,OBC,false,Other,false,2023-06-06,Science,2024-04-06
Corly Berkeley,Female,1988-06-18,38,5,OBC,true,Health,false,2024-04-25,Other,2024-03-12
Ade Wadie,Male,1983-05-03,66,3,SC,true,Other,false,2023-05-07,Arts,2023-07-01
Sandye Nare,Female,2016-08-03,57,4,General,true,Health,true,2023-08-14,Other,2023-12-09
Adela Petrou,Female,2010-03-14,26,12,OBC,true,Health,true,2024-01-24,Commerce,2023-07-02
Ethe Merkle,Male,1980-10-10,58,4,Other,false,Family,false,2023-12-20,Other,2024-02-04
Joaquin Duiged,Non-binary,2001-03-15,53,7,SC,false,Other,true,2023-07-06,Commerce,2024-01-18
Margarete Yeskin,Female,1993-07-08,67,2,General,false,Financial,false,2024-03-03,Science,2023-12-22
Jacobo Hurles,Male,2013-01-13,25,2,OBC,true,Other,true,2023-10-19,Commerce,2023-10-10
Lynnet Ainley,Polygender,1991-05-31,16,2,ST,false,Financial,false,2023-09-15,Other,2023-12-02
Gorden Burgon,Male,2011-03-07,23,4,SC,false,Family,false,2023-11-19,Science,2024-01-08
Delmer Gratland,Male,1997-04-24,59,8,OBC,false,Family,false,2023-09-16,Other,2023-10-27
Starlin Fransinelli,Female,2015-01-22,63,0,SC,false,Financial,false,2024-03-17,Arts,2023-08-22
Whitney Marusyak,Female,2018-11-05,51,6,General,true,Financial,true,2024-03-24,Commerce,2023-11-21
Yvor Rother,Male,1995-12-26,67,1,SC,true,Health,true,2024-02-08,Arts,2023-12-22
Tammy Ivankov,Male,2008-01-21,29,1,OBC,false,Financial,false,2023-05-01,Arts,2024-03-31
Massimiliano Footer,Male,2004-11-27,42,8,ST,false,Other,false,2024-01-28,Science,2023-08-31
Chauncey Reily,Male,1981-01-26,66,0,OBC,true,Family,true,2023-07-04,Science,2023-08-28
Emmeline Castellan,Female,1992-09-09,62,4,ST,false,Financial,true,2023-12-06,Science,2023-11-07
Giles Broomer,Male,1989-09-29,16,10,General,true,Financial,true,2023-06-24,Commerce,2024-02-07
Chrisy Fishenden,Male,1987-04-17,17,3,OBC,true,Family,false,2023-05-17,Arts,2023-05-02
Mirabelle Dumingo,Female,1980-09-14,41,12,General,false,Family,false,2024-02-29,Science,2024-01-19
Ahmad Finnimore,Male,2001-11-27,65,2,Other,true,Other,true,2023-06-02,Other,2023-05-25
Maynard Sapsforde,Male,2005-06-21,54,8,Other,true,Other,false,2023-06-05,Other,2023-09-04
Cordelia Foyle,Female,1998-04-08,55,10,SC,false,Financial,true,2023-09-26,Commerce,2023-08-13
Ario Visick,Male,1999-06-23,38,10,OBC,true,Financial,true,2023-08-05,Science,2023-09-03
Kaycee Dautry,Agender,2003-12-18,65,6,Other,false,Financial,false,2023-05-29,Commerce,2023-12-01
Kennan Allot,Male,1980-08-31,23,5,ST,false,Financial,false,2024-02-10,Science,2023-09-18
Bernete Trustram,Female,2009-07-22,33,6,ST,true,Family,false,2023-10-09,Other,2023-07-21
Cynthie Skilbeck,Female,2020-02-21,27,0,SC,false,Other,true,2024-02-23,Science,2023-08-02
Donni Thacker,Female,2015-10-04,30,5,SC,true,Family,true,2024-04-26,Arts,2024-02-03
Lock Fanshawe,Male,1999-09-29,25,5,General,true,Health,true,2023-10-07,Commerce,2023-06-12
Skyler Lotherington,Male,1995-05-19,45,6,Other,true,Other,true,2023-06-18,Science,2023-09-19
Gus Ploughwright,Male,2011-05-09,48,3,OBC,true,Other,false,2024-03-03,Commerce,2023-12-19
Jocko Orfeur,Male,1982-05-22,23,9,OBC,false,Financial,true,2024-02-26,Commerce,2023-06-19
