name,gender,age,standard,caste,dropoutStatus,dropoutReason,dropoutPrediction,dropoutFeedback
Jarred Ivanovic,Male,105,3,ST,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,2,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus
Lorita Brigg,Female,62,2,SC,false,poor facilities,7,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
Tedd McAmish,Male,107,3,ST,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,4,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh
Carolus Flockhart,Male,97,4,ST,true,Lack of resources (books,6,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu
Mellie Wilstead,Female,15,9,General,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,9,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede
Buckie Penzer,Male,90,9,ST,true,etc.) Financial constraints Family issues (e.g.,0,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
Kitti Keddie,Genderqueer,18,9,SC,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,8,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam
Ewen Birley,Male,10,6,SC,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,0,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce
Winnifred Curm,Polygender,81,0,General,false,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,6,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in
Antoni Carleman,Male,54,3,OBC,false,poor teaching quality,8,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt
Verna Cobbled,Female,104,0,OBC,false,parental divorce,10,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium
Laraine Almey,Female,33,9,SC,true,race,0,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper
Tiler Peat,Male,88,3,General,false,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,2,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet
Clayborne Bresson,Male,48,10,General,true,parental divorce,8,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
Farrand Babin,Female,11,7,ST,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,10,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum
Janie Hearle,Female,95,11,SC,false,poor facilities,9,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at
Eloise Broader,Bigender,66,12,General,false,stationery,9,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac
Tara Heald,Female,81,7,OBC,true,Lack of resources (books,2,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at
Gardiner Seamark,Male,111,7,General,true,stationery,6,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat
Crin Donisthorpe,Female,40,8,General,true,poor facilities,7,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit
Conan Red,Male,20,8,SC,true,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,7,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit
Maximilianus Wyburn,Male,36,6,OBC,true,parental divorce,10,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non
Geoffry Pinn,Male,4,7,OBC,true,depression,1,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices
Alla Bone,Female,48,8,General,false,etc.) Financial constraints Family issues (e.g.,4,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque
Barri Smeaton,Male,16,6,SC,false,race,0,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes
Wynn Shewan,Male,89,12,ST,false,depression,6,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt
Mersey Aitken,Female,49,1,OBC,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,1,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non
Trix Witchell,Female,27,3,OBC,true,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,4,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi
Sybille Geffe,Female,62,11,General,true,depression,10,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum
Clywd Purdey,Male,20,5,General,false,parental divorce,1,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt
Tynan Firminger,Male,12,7,ST,false,race,10,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin
Palm Cranny,Male,99,11,SC,true,poor teaching quality,2,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
Felicity Snar,Female,32,2,General,false,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,3,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in
Terri Sillett,Female,21,6,OBC,true,parental divorce,7,convallis tortor risus dapibus augue vel accumsan tellus nisi eu
Jacques Murkitt,Male,114,12,General,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,5,libero ut massa volutpat convallis morbi odio odio elementum eu
Carol-jean McComiskie,Female,9,1,General,true,poor facilities,2,congue risus semper porta volutpat quam pede lobortis ligula sit amet
Les Lias,Male,16,8,OBC,false,Lack of resources (books,3,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at
Ange Beaconsall,Female,53,2,General,false,poor facilities,5,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget
